ID is: c0_g1_i1 	Count of A: 360 	Count of T: 370 	Count of C: 227 	Count of G: 206
ID is: c192_g1_i1 	Count of A: 408 	Count of T: 555 	Count of C: 285 	Count of G: 315
ID is: c193_g1_i1 	Count of A: 239 	Count of T: 219 	Count of C: 142 	Count of G: 155
ID is: c194_g1_i1 	Count of A: 96 	Count of T: 74 	Count of C: 69 	Count of G: 57
ID is: c195_g1_i1 	Count of A: 638 	Count of T: 811 	Count of C: 511 	Count of G: 485
ID is: c196_g1_i1 	Count of A: 520 	Count of T: 565 	Count of C: 382 	Count of G: 378
ID is: c197_g1_i1 	Count of A: 361 	Count of T: 422 	Count of C: 276 	Count of G: 238
ID is: c198_g1_i1 	Count of A: 898 	Count of T: 899 	Count of C: 591 	Count of G: 643
ID is: c199_g1_i1 	Count of A: 608 	Count of T: 734 	Count of C: 513 	Count of G: 434
ID is: c200_g1_i1 	Count of A: 1096 	Count of T: 1109 	Count of C: 618 	Count of G: 706
ID is: c201_g1_i1 	Count of A: 350 	Count of T: 412 	Count of C: 222 	Count of G: 239
ID is: c202_g1_i1 	Count of A: 443 	Count of T: 344 	Count of C: 222 	Count of G: 248
ID is: c203_g1_i1 	Count of A: 90 	Count of T: 122 	Count of C: 71 	Count of G: 64
ID is: c204_g1_i1 	Count of A: 264 	Count of T: 225 	Count of C: 143 	Count of G: 140
ID is: c205_g1_i1 	Count of A: 301 	Count of T: 369 	Count of C: 236 	Count of G: 187
ID is: c206_g1_i1 	Count of A: 63 	Count of T: 55 	Count of C: 54 	Count of G: 39
ID is: c207_g1_i1 	Count of A: 146 	Count of T: 143 	Count of C: 89 	Count of G: 91
ID is: c208_g1_i1 	Count of A: 185 	Count of T: 154 	Count of C: 83 	Count of G: 101
ID is: c209_g1_i1 	Count of A: 63 	Count of T: 59 	Count of C: 40 	Count of G: 45
ID is: c210_g1_i1 	Count of A: 164 	Count of T: 202 	Count of C: 109 	Count of G: 137
ID is: c211_g1_i1 	Count of A: 63 	Count of T: 58 	Count of C: 36 	Count of G: 50
ID is: c212_g1_i1 	Count of A: 114 	Count of T: 133 	Count of C: 65 	Count of G: 86
ID is: c214_g1_i1 	Count of A: 138 	Count of T: 181 	Count of C: 109 	Count of G: 72
ID is: c215_g1_i1 	Count of A: 99 	Count of T: 79 	Count of C: 62 	Count of G: 49
ID is: c216_g1_i1 	Count of A: 47 	Count of T: 89 	Count of C: 38 	Count of G: 45
ID is: c217_g1_i1 	Count of A: 76 	Count of T: 76 	Count of C: 76 	Count of G: 61
ID is: c218_g1_i1 	Count of A: 446 	Count of T: 406 	Count of C: 259 	Count of G: 287
ID is: c219_g1_i1 	Count of A: 1095 	Count of T: 1417 	Count of C: 940 	Count of G: 720
ID is: c220_g1_i1 	Count of A: 480 	Count of T: 391 	Count of C: 278 	Count of G: 365
ID is: c221_g1_i1 	Count of A: 458 	Count of T: 502 	Count of C: 348 	Count of G: 309
ID is: c222_g1_i1 	Count of A: 106 	Count of T: 112 	Count of C: 84 	Count of G: 72
ID is: c223_g1_i1 	Count of A: 353 	Count of T: 293 	Count of C: 198 	Count of G: 162
ID is: c224_g1_i1 	Count of A: 175 	Count of T: 233 	Count of C: 136 	Count of G: 140
ID is: c225_g1_i1 	Count of A: 159 	Count of T: 151 	Count of C: 113 	Count of G: 84
ID is: c226_g1_i1 	Count of A: 488 	Count of T: 627 	Count of C: 359 	Count of G: 307
ID is: c227_g1_i1 	Count of A: 169 	Count of T: 135 	Count of C: 124 	Count of G: 136
ID is: c228_g1_i1 	Count of A: 376 	Count of T: 356 	Count of C: 230 	Count of G: 244
ID is: c229_g1_i1 	Count of A: 597 	Count of T: 534 	Count of C: 329 	Count of G: 368
ID is: c230_g1_i1 	Count of A: 609 	Count of T: 698 	Count of C: 406 	Count of G: 378
ID is: c231_g1_i1 	Count of A: 485 	Count of T: 773 	Count of C: 420 	Count of G: 339
ID is: c232_g1_i1 	Count of A: 114 	Count of T: 96 	Count of C: 63 	Count of G: 72
ID is: c233_g1_i1 	Count of A: 151 	Count of T: 139 	Count of C: 111 	Count of G: 78
ID is: c234_g1_i1 	Count of A: 64 	Count of T: 101 	Count of C: 47 	Count of G: 39
ID is: c235_g1_i1 	Count of A: 264 	Count of T: 273 	Count of C: 177 	Count of G: 197
ID is: c236_g1_i1 	Count of A: 121 	Count of T: 111 	Count of C: 84 	Count of G: 76
ID is: c237_g1_i1 	Count of A: 394 	Count of T: 495 	Count of C: 309 	Count of G: 241
ID is: c238_g1_i1 	Count of A: 82 	Count of T: 153 	Count of C: 56 	Count of G: 70
ID is: c239_g1_i1 	Count of A: 129 	Count of T: 101 	Count of C: 85 	Count of G: 58
ID is: c240_g1_i1 	Count of A: 61 	Count of T: 90 	Count of C: 28 	Count of G: 28
ID is: c241_g1_i1 	Count of A: 98 	Count of T: 98 	Count of C: 95 	Count of G: 84
ID is: c242_g1_i1 	Count of A: 79 	Count of T: 114 	Count of C: 52 	Count of G: 52
ID is: c243_g1_i1 	Count of A: 66 	Count of T: 47 	Count of C: 45 	Count of G: 50
ID is: c244_g1_i1 	Count of A: 534 	Count of T: 548 	Count of C: 346 	Count of G: 317
ID is: c245_g1_i1 	Count of A: 475 	Count of T: 706 	Count of C: 479 	Count of G: 363
ID is: c246_g1_i1 	Count of A: 1310 	Count of T: 1177 	Count of C: 876 	Count of G: 831
ID is: c247_g1_i1 	Count of A: 396 	Count of T: 329 	Count of C: 167 	Count of G: 214
ID is: c248_g1_i1 	Count of A: 1065 	Count of T: 1051 	Count of C: 594 	Count of G: 669
ID is: c249_g1_i1 	Count of A: 485 	Count of T: 563 	Count of C: 328 	Count of G: 365
ID is: c250_g1_i1 	Count of A: 373 	Count of T: 543 	Count of C: 328 	Count of G: 350
ID is: c251_g1_i1 	Count of A: 392 	Count of T: 553 	Count of C: 394 	Count of G: 356
ID is: c252_g1_i1 	Count of A: 698 	Count of T: 762 	Count of C: 422 	Count of G: 478
ID is: c253_g1_i1 	Count of A: 228 	Count of T: 196 	Count of C: 119 	Count of G: 138
ID is: c254_g1_i1 	Count of A: 198 	Count of T: 127 	Count of C: 65 	Count of G: 115
ID is: c255_g1_i1 	Count of A: 130 	Count of T: 134 	Count of C: 91 	Count of G: 72
ID is: c256_g1_i1 	Count of A: 141 	Count of T: 148 	Count of C: 72 	Count of G: 68
ID is: c257_g1_i1 	Count of A: 60 	Count of T: 76 	Count of C: 61 	Count of G: 35
